date Time,SecTime,Final_Deg,Final_Rev,Enc_Deg,Enc_Rev,Ref_Deg,Ref_Rev,Doppler_data,RSSI_SUM_Data,RSSI_Delta_Data,Detection,
06-10-17 21:37:07.136,7.136,22.6816,5807,43.6816,5807,360,65535,0,1981,2162,0,
06-10-17 21:37:07.144,7.144,22.6816,5807,43.6816,5807,360,65535,0,1981,2133,0,
06-10-17 21:37:07.152,7.152,22.6816,5807,43.6816,5807,360,65535,0,1984,2133,0,
06-10-17 21:37:07.160,7.16,22.6816,5807,43.6816,5807,360,65535,0,1970,2171,0,
06-10-17 21:37:07.168,7.168,22.6816,5807,43.6816,5807,360,65535,0,1970,2160,0,
06-10-17 21:37:07.176,7.176,22.6816,5807,43.6816,5807,360,65535,0,1978,2160,0,
06-10-17 21:37:07.184,7.184,22.6816,5807,43.6816,5807,360,65535,0,1970,2156,0,
06-10-17 21:37:07.192,7.192,22.6816,5807,43.6816,5807,360,65535,0,1970,2156,0,
06-10-17 21:37:07.200,7.2,22.6816,5807,43.6816,5807,360,65535,0,1985,2169,0,
06-10-17 21:37:07.208,7.208,22.6816,5807,43.6816,5807,360,65535,0,1962,2132,0,
06-10-17 21:37:07.216,7.216,22.6816,5807,43.6816,5807,360,65535,0,1962,2132,0,
06-10-17 21:37:07.224,7.224,22.6816,5807,43.6816,5807,360,65535,0,1964,2164,0,
06-10-17 21:37:07.232,7.232,22.6816,5807,43.6816,5807,360,65535,0,1962,2171,0,
06-10-17 21:37:07.240,7.24,22.6816,5807,43.6816,5807,360,65535,0,1962,2171,0,
06-10-17 21:37:07.248,7.248,22.6816,5807,43.6816,5807,360,65535,0,1973,2165,0,
06-10-17 21:37:07.256,7.256,22.6816,5807,43.6816,5807,360,65535,0,1973,2175,0,
06-10-17 21:37:07.264,7.264,22.6816,5807,43.6816,5807,360,65535,0,1976,2175,0,
06-10-17 21:37:07.272,7.272,22.6816,5807,43.6816,5807,360,65535,0,1962,2175,0,
06-10-17 21:37:07.280,7.28,22.6816,5807,43.6816,5807,360,65535,0,1962,2172,0,
06-10-17 21:37:07.288,7.288,22.6816,5807,43.6816,5807,360,65535,0,1964,2172,0,
06-10-17 21:37:07.296,7.296,22.6816,5807,43.6816,5807,360,65535,0,1964,2167,0,
06-10-17 21:37:07.304,7.304,22.6816,5807,43.6816,5807,360,65535,0,1964,2162,0,
06-10-17 21:37:07.312,7.312,22.6816,5807,43.6816,5807,360,65535,0,1968,2162,0,
06-10-17 21:37:07.320,7.32,22.6816,5807,43.6816,5807,360,65535,0,1979,2171,0,
06-10-17 21:37:07.328,7.328,22.6816,5807,43.6816,5807,360,65535,0,1979,2164,0,
06-10-17 21:37:07.336,7.336,22.6816,5807,43.6816,5807,360,65535,0,1957,2164,0,
06-10-17 21:37:07.344,7.344,22.6816,5807,43.6816,5807,360,65535,0,1963,2170,0,
06-10-17 21:37:07.352,7.352,22.6816,5807,43.6816,5807,360,65535,0,1963,2170,0,
06-10-17 21:37:07.360,7.36,22.6816,5807,43.6816,5807,360,65535,0,1983,2167,0,
06-10-17 21:37:07.368,7.368,22.6816,5807,43.6816,5807,360,65535,0,1964,2155,0,
06-10-17 21:37:07.376,7.376,22.6816,5807,43.6816,5807,360,65535,0,1964,2155,0,
06-10-17 21:37:07.384,7.384,22.6816,5807,43.6816,5807,360,65535,0,1967,2175,0,
06-10-17 21:37:07.392,7.392,22.6816,5807,43.6816,5807,360,65535,0,1960,2132,0,
06-10-17 21:37:07.400,7.4,22.6816,5807,43.6816,5807,360,65535,0,1960,2132,0,
06-10-17 21:37:07.408,7.408,22.6816,5807,43.6816,5807,360,65535,0,1971,2146,0,
06-10-17 21:37:07.416,7.416,22.6816,5807,43.6816,5807,360,65535,0,1971,2165,0,
06-10-17 21:37:07.424,7.424,22.6816,5807,43.6816,5807,360,65535,0,1959,2165,0,
06-10-17 21:37:07.432,7.432,22.6816,5807,43.6816,5807,360,65535,0,1971,2160,0,
06-10-17 21:37:07.440,7.44,22.6816,5807,43.6816,5807,360,65535,0,1971,2161,0,
06-10-17 21:37:07.448,7.448,22.6816,5807,43.6816,5807,360,65535,0,1978,2161,0,
06-10-17 21:37:07.456,7.456,22.6816,5807,43.6816,5807,360,65535,0,1975,2145,0,
06-10-17 21:37:07.464,7.464,22.6816,5807,43.6816,5807,360,65535,0,1975,2162,0,
06-10-17 21:37:07.472,7.472,22.6816,5807,43.6816,5807,360,65535,0,1963,2162,0,
06-10-17 21:37:07.480,7.48,22.6816,5807,43.6816,5807,360,65535,0,1958,2173,0,
06-10-17 21:37:07.488,7.488,22.6816,5807,43.6816,5807,360,65535,0,1958,2171,0,
06-10-17 21:37:07.496,7.496,22.6816,5807,43.6816,5807,360,65535,0,1974,2171,0,
06-10-17 21:37:07.504,7.504,22.6816,5807,43.6816,5807,360,65535,0,1967,2167,0,
06-10-17 21:37:07.512,7.512,22.6816,5807,43.6816,5807,360,65535,0,1967,2167,0,
06-10-17 21:37:07.520,7.52,22.6816,5807,43.6816,5807,360,65535,0,1975,2149,0,
06-10-17 21:37:07.528,7.528,22.6816,5807,43.6816,5807,360,65535,0,1989,2151,0,
06-10-17 21:37:07.536,7.536,22.6816,5807,43.6816,5807,360,65535,0,1989,2151,0,
06-10-17 21:37:07.544,7.544,22.6816,5807,43.6816,5807,360,65535,0,1973,2175,0,
06-10-17 21:37:07.552,7.552,22.6816,5807,43.6816,5807,360,65535,0,1969,2168,0,
06-10-17 21:37:07.560,7.56,22.6816,5807,43.6816,5807,360,65535,0,1969,2168,0,
06-10-17 21:37:07.568,7.568,22.6816,5807,43.6816,5807,360,65535,0,1981,2159,0,
06-10-17 21:37:07.576,7.576,22.6816,5807,43.6816,5807,360,65535,0,1981,2154,0,
06-10-17 21:37:07.584,7.584,22.6816,5807,43.6816,5807,360,65535,0,1980,2154,0,
06-10-17 21:37:07.592,7.592,22.6816,5807,43.6816,5807,360,65535,0,1968,2150,0,
06-10-17 21:37:07.600,7.6,22.6816,5807,43.6816,5807,360,65535,0,1968,2168,0,
06-10-17 21:37:07.608,7.608,22.6816,5807,43.6816,5807,360,65535,0,1983,2168,0,
06-10-17 21:37:07.616,7.616,22.6816,5807,43.6816,5807,360,65535,0,1976,2174,0,
06-10-17 21:37:07.624,7.624,22.6816,5807,43.6816,5807,360,65535,0,1976,2171,0,
06-10-17 21:37:07.632,7.632,22.6816,5807,43.6816,5807,360,65535,0,1977,2171,0,
06-10-17 21:37:07.640,7.64,22.6816,5807,43.6816,5807,360,65535,0,1973,2178,0,
06-10-17 21:37:07.648,7.648,22.6816,5807,43.6816,5807,360,65535,0,1973,2156,0,
06-10-17 21:37:07.656,7.656,22.6816,5807,43.6816,5807,360,65535,0,1973,2156,0,
06-10-17 21:37:07.664,7.664,22.6816,5807,43.6816,5807,360,65535,0,1971,2157,0,
06-10-17 21:37:07.672,7.672,22.6816,5807,43.6816,5807,360,65535,0,1971,2167,0,
06-10-17 21:37:07.680,7.68,22.6816,5807,43.6816,5807,360,65535,0,1974,2167,0,
06-10-17 21:37:07.688,7.688,22.6816,5807,43.6816,5807,360,65535,0,1979,2158,0,
06-10-17 21:37:07.696,7.696,22.6816,5807,43.6816,5807,360,65535,0,1979,2158,0,
06-10-17 21:37:07.704,7.704,22.6816,5807,43.6816,5807,360,65535,0,1958,2166,0,
06-10-17 21:37:07.712,7.712,22.6816,5807,43.6816,5807,360,65535,0,1984,2171,0,
06-10-17 21:37:07.720,7.72,22.6816,5807,43.6816,5807,360,65535,0,1984,2171,0,
06-10-17 21:37:07.728,7.728,22.6816,5807,43.6816,5807,360,65535,0,1972,2163,0,
06-10-17 21:37:07.736,7.736,22.6816,5807,43.6816,5807,360,65535,0,1967,2143,0,
06-10-17 21:37:07.744,7.744,22.6816,5807,43.6816,5807,360,65535,0,1967,2143,0,
06-10-17 21:37:07.752,7.752,22.6816,5807,43.6816,5807,360,65535,0,1968,2164,0,
06-10-17 21:37:07.760,7.76,22.6816,5807,43.6816,5807,360,65535,0,1968,2157,0,
06-10-17 21:37:07.768,7.768,22.6816,5807,43.6816,5807,360,65535,0,1971,2157,0,
06-10-17 21:37:07.776,7.776,22.6816,5807,43.6816,5807,360,65535,0,1973,2169,0,
06-10-17 21:37:07.784,7.784,22.6816,5807,43.6816,5807,360,65535,0,1973,2164,0,
06-10-17 21:37:07.792,7.792,22.6816,5807,43.6816,5807,360,65535,0,1975,2164,0,
06-10-17 21:37:07.800,7.8,22.6816,5807,43.6816,5807,360,65535,0,1973,2163,0,
06-10-17 21:37:07.808,7.808,22.6816,5807,43.6816,5807,360,65535,0,1973,2166,0,
06-10-17 21:37:07.816,7.816,22.6816,5807,43.6816,5807,360,65535,0,1970,2166,0,
06-10-17 21:37:07.824,7.824,22.6816,5807,43.6816,5807,360,65535,0,1987,2165,0,
06-10-17 21:37:07.832,7.832,22.6816,5807,43.6816,5807,360,65535,0,1987,2169,0,
06-10-17 21:37:07.840,7.84,22.6816,5807,43.6816,5807,360,65535,0,1975,2169,0,
06-10-17 21:37:07.848,7.848,22.6816,5807,43.6816,5807,360,65535,0,1978,2152,0,
06-10-17 21:37:07.856,7.856,22.6816,5807,43.6816,5807,360,65535,0,1978,2152,0,
06-10-17 21:37:07.864,7.864,22.6816,5807,43.6816,5807,360,65535,0,1977,2161,0,
06-10-17 21:37:07.872,7.872,22.6816,5807,43.6816,5807,360,65535,0,1965,2158,0,
06-10-17 21:37:07.880,7.88,22.6816,5807,43.6816,5807,360,65535,0,1965,2158,0,
06-10-17 21:37:07.888,7.888,22.6816,5807,43.6816,5807,360,65535,0,1979,2146,0,
06-10-17 21:37:07.896,7.896,22.6816,5807,43.6816,5807,360,65535,0,1975,2156,0,
06-10-17 21:37:07.904,7.904,22.6816,5807,43.6816,5807,360,65535,0,1975,2156,0,
06-10-17 21:37:07.912,7.912,22.6816,5807,43.6816,5807,360,65535,0,1971,2171,0,
06-10-17 21:37:07.920,7.92,22.6816,5807,43.6816,5807,360,65535,0,1971,2177,0,
06-10-17 21:37:07.928,7.928,22.6816,5807,43.6816,5807,360,65535,0,1971,2177,0,
06-10-17 21:37:07.936,7.936,22.6816,5807,43.6816,5807,360,65535,0,1967,2173,0,
06-10-17 21:37:07.944,7.944,22.6816,5807,43.6816,5807,360,65535,0,1967,2145,0,
06-10-17 21:37:07.952,7.952,22.6816,5807,43.6816,5807,360,65535,0,1976,2145,0,
06-10-17 21:37:07.960,7.96,22.6816,5807,43.6816,5807,360,65535,0,1972,2165,0,
06-10-17 21:37:07.968,7.968,22.6816,5807,43.6816,5807,360,65535,0,1972,2158,0,
06-10-17 21:37:07.976,7.976,22.6816,5807,43.6816,5807,360,65535,0,1979,2158,0,
06-10-17 21:37:07.984,7.984,22.6816,5807,43.6816,5807,360,65535,0,1970,2179,0,
06-10-17 21:37:07.992,7.992,22.6816,5807,43.6816,5807,360,65535,0,1970,2153,0,
06-10-17 21:37:08.000,8,22.6816,5807,43.6816,5807,360,65535,0,1969,2153,0,
06-10-17 21:37:08.008,8.008,22.6816,5807,43.6816,5807,360,65535,0,1967,2178,0,
06-10-17 21:37:08.016,8.016,22.6816,5807,43.6816,5807,360,65535,0,1967,2178,0,
06-10-17 21:37:08.024,8.024,22.6816,5807,43.6816,5807,360,65535,0,1975,2175,0,
06-10-17 21:37:08.032,8.032,22.6816,5807,43.6816,5807,360,65535,0,1968,2177,0,
06-10-17 21:37:08.040,8.04,22.6816,5807,43.6816,5807,360,65535,0,1968,2177,0,
06-10-17 21:37:08.048,8.048,22.6816,5807,43.6816,5807,360,65535,0,1952,2170,0,
06-10-17 21:37:08.056,8.056,22.6816,5807,43.6816,5807,360,65535,0,1963,2141,0,
06-10-17 21:37:08.064,8.064,22.6816,5807,43.6816,5807,360,65535,0,1963,2141,0,
06-10-17 21:37:08.072,8.072,22.6816,5807,43.6816,5807,360,65535,0,1968,2179,0,
06-10-17 21:37:08.080,8.08,22.6816,5807,43.6816,5807,360,65535,0,1980,2154,0,
06-10-17 21:37:08.088,8.088,22.6816,5807,43.6816,5807,360,65535,0,1980,2154,0,
06-10-17 21:37:08.096,8.096,22.6816,5807,43.6816,5807,360,65535,0,1971,2150,0,
06-10-17 21:37:08.104,8.104,22.6816,5807,43.6816,5807,360,65535,0,1971,2172,0,
06-10-17 21:37:08.112,8.112,22.6816,5807,43.6816,5807,360,65535,0,1972,2172,0,
06-10-17 21:37:08.120,8.12,22.6816,5807,43.6816,5807,360,65535,0,1986,2149,0,
06-10-17 21:37:08.128,8.128,22.6816,5807,43.6816,5807,360,65535,0,1986,2158,0,
06-10-17 21:37:08.136,8.136,22.6816,5807,43.6816,5807,360,65535,0,1973,2158,0,
06-10-17 21:37:08.144,8.144,22.6816,5807,43.6816,5807,360,65535,0,1988,2158,0,
06-10-17 21:37:08.152,8.152,22.6816,5807,43.6816,5807,360,65535,0,1988,2172,0,
06-10-17 21:37:08.160,8.16,22.6816,5807,43.6816,5807,360,65535,0,1976,2172,0,
06-10-17 21:37:08.167,8.167,22.6816,5807,43.6816,5807,360,65535,0,1971,2161,0,
06-10-17 21:37:08.176,8.176,22.6816,5807,43.6816,5807,360,65535,0,1971,2196,0,
06-10-17 21:37:08.184,8.184,22.6816,5807,43.6816,5807,360,65535,0,1968,2196,0,
06-10-17 21:37:08.192,8.192,22.6816,5807,43.6816,5807,360,65535,0,1971,2179,0,
06-10-17 21:37:08.200,8.2,22.6816,5807,43.6816,5807,360,65535,0,1971,2179,0,
06-10-17 21:37:08.208,8.208,22.6816,5807,43.6816,5807,360,65535,0,1976,2147,0,
06-10-17 21:37:08.216,8.216,22.6816,5807,43.6816,5807,360,65535,0,1972,2162,0,
06-10-17 21:37:08.224,8.224,22.6816,5807,43.6816,5807,360,65535,0,1972,2162,0,
06-10-17 21:37:08.232,8.232,22.6816,5807,43.6816,5807,360,65535,0,1977,2152,0,
06-10-17 21:37:08.240,8.24,22.6816,5807,43.6816,5807,360,65535,0,1978,2154,0,
06-10-17 21:37:08.248,8.248,22.6816,5807,43.6816,5807,360,65535,0,1978,2154,0,
06-10-17 21:37:08.256,8.256,22.6816,5807,43.6816,5807,360,65535,0,1959,2153,0,
06-10-17 21:37:08.264,8.264,22.6816,5807,43.6816,5807,360,65535,0,1959,2170,0,
06-10-17 21:37:08.272,8.272,22.6816,5807,43.6816,5807,360,65535,0,1962,2170,0,
06-10-17 21:37:08.280,8.28,22.6816,5807,43.6816,5807,360,65535,0,1963,2180,0,
06-10-17 21:37:08.288,8.288,22.6816,5807,43.6816,5807,360,65535,0,1963,2171,0,
06-10-17 21:37:08.295,8.295,22.6816,5807,43.6816,5807,360,65535,0,1978,2171,0,
06-10-17 21:37:08.304,8.304,22.6816,5807,43.6816,5807,360,65535,0,1977,2202,0,
06-10-17 21:37:08.311,8.311,22.6816,5807,43.6816,5807,360,65535,0,1977,2189,0,
06-10-17 21:37:08.320,8.32,22.6816,5807,43.6816,5807,360,65535,0,1968,2189,0,
06-10-17 21:37:08.328,8.328,22.6816,5807,43.6816,5807,360,65535,0,1981,2160,0,
06-10-17 21:37:08.335,8.335,22.6816,5807,43.6816,5807,360,65535,0,1981,2160,0,
06-10-17 21:37:08.344,8.344,22.6816,5807,43.6816,5807,360,65535,0,1976,2160,0,
06-10-17 21:37:08.352,8.352,22.6816,5807,43.6816,5807,360,65535,0,1968,2158,0,
06-10-17 21:37:08.360,8.36,22.6816,5807,43.6816,5807,360,65535,0,1968,2158,0,
06-10-17 21:37:08.368,8.368,22.6816,5807,43.6816,5807,360,65535,0,1977,2134,0,
06-10-17 21:37:08.376,8.376,22.6816,5807,43.6816,5807,360,65535,0,1964,2176,0,
06-10-17 21:37:08.384,8.384,22.6816,5807,43.6816,5807,360,65535,0,1964,2176,0,
06-10-17 21:37:08.392,8.392,22.6816,5807,43.6816,5807,360,65535,0,1962,2154,0,
06-10-17 21:37:08.400,8.4,22.6816,5807,43.6816,5807,360,65535,0,1980,2155,0,
06-10-17 21:37:08.408,8.408,22.6816,5807,43.6816,5807,360,65535,0,1980,2155,0,
06-10-17 21:37:08.416,8.416,22.6816,5807,43.6816,5807,360,65535,0,1972,2168,0,
06-10-17 21:37:08.424,8.424,22.6816,5807,43.6816,5807,360,65535,0,1972,2137,0,
06-10-17 21:37:08.432,8.432,22.6816,5807,43.6816,5807,360,65535,0,1968,2137,0,
06-10-17 21:37:08.440,8.44,22.6816,5807,43.6816,5807,360,65535,0,1965,2161,0,
06-10-17 21:37:08.447,8.447,22.6816,5807,43.6816,5807,360,65535,0,1965,2175,0,
06-10-17 21:37:08.456,8.456,22.6816,5807,43.6816,5807,360,65535,0,1970,2175,0,
06-10-17 21:37:08.464,8.464,22.6816,5807,43.6816,5807,360,65535,0,1980,2164,0,
06-10-17 21:37:08.472,8.472,22.6816,5807,43.6816,5807,360,65535,0,1980,2164,0,
06-10-17 21:37:08.480,8.48,22.6816,5807,43.6816,5807,360,65535,0,1974,2164,0,
06-10-17 21:37:08.488,8.488,22.6816,5807,43.6816,5807,360,65535,0,1951,2166,0,
06-10-17 21:37:08.496,8.496,22.6816,5807,43.6816,5807,360,65535,0,1951,2161,0,
06-10-17 21:37:08.504,8.504,22.6816,5807,43.6816,5807,360,65535,0,1959,2161,0,
06-10-17 21:37:08.512,8.512,22.6816,5807,43.6816,5807,360,65535,0,1971,2161,0,
06-10-17 21:37:08.520,8.52,22.6816,5807,43.6816,5807,360,65535,0,1971,2161,0,
